委托批次,项目名称,里程碑名称,节点开始日期,节点结束日期,考核日期,实际发起考核日期
河套深港科技合作区高端科研项目管理,高对比度超结构光栅面发射激光及光子集成芯片的基础研究项目,第一阶段,2023/1/10,2024/1/9,2024/1/9,2024/11/28 0:00:00
河套深港科技合作区高端科研项目管理,高对比度超结构光栅面发射激光及光子集成芯片的基础研究项目,第二阶段,2024/1/10,2025/1/9,2025/1/9,
河套深港科技合作区高端科研项目管理,高对比度超结构光栅面发射激光及光子集成芯片的基础研究项目,第三阶段,2025/1/10,2026/1/9,2026/1/9,
河套深港科技合作区高端科研项目管理,高可靠性氮化镓功率器件机理及其上新型工业电源架构的研究,第一阶段,2021/9/1,2022/8/31,2022/8/31,2022/9/29 0:00:00
河套深港科技合作区高端科研项目管理,高可靠性氮化镓功率器件机理及其上新型工业电源架构的研究,第二阶段,2022/9/1,2023/8/31,2023/8/31,2023/11/14 0:00:00
河套深港科技合作区高端科研项目管理,高可靠性氮化镓功率器件机理及其上新型工业电源架构的研究,第三阶段,2023/9/1,2024/8/31,2024/8/31,2024/11/22 0:00:00
河套深港科技合作区高端科研项目管理,香港中文大学（深圳）未来智联网络研究院项目,第一阶段,2021/12/1,2022/11/30,2022/11/30,2022/12/22 0:00:00
河套深港科技合作区高端科研项目管理,香港中文大学（深圳）未来智联网络研究院项目,第二阶段,2022/12/1,2023/11/30,2023/11/30,2024/1/24 0:00:00
河套深港科技合作区高端科研项目管理,香港中文大学（深圳）未来智联网络研究院项目,第三阶段,2023/12/1,2024/11/30,2024/11/30,
河套深港科技合作区高端科研项目管理,香港中文大学（深圳）未来智联网络研究院项目,第四阶段,2024/12/1,2025/11/30,2025/11/30,
河套深港科技合作区高端科研项目管理,香港中文大学（深圳）未来智联网络研究院项目,第五阶段,2025/12/1,2026/11/30,2026/11/30,
河套深港科技合作区高端科研项目管理,基于微纳技术的肿瘤精准诊疗技术研发与应用项目,第一阶段,2021/7/1,2022/6/30,2022/6/30,2022/9/22 0:00:00
河套深港科技合作区高端科研项目管理,基于微纳技术的肿瘤精准诊疗技术研发与应用项目,第二阶段,2022/7/1,2023/6/30,2023/6/30,2023/11/27 0:00:00
河套深港科技合作区高端科研项目管理,基于微纳技术的肿瘤精准诊疗技术研发与应用项目,第三阶段,2023/7/1,2024/6/30,2024/6/30,
河套深港科技合作区高端科研项目管理,大湾区生物医药研发创新中心项目,第一阶段,2020/12/1,2021/11/30,2021/11/30,2022/4/8 0:00:00
河套深港科技合作区高端科研项目管理,大湾区生物医药研发创新中心项目,第二阶段,2021/12/1,2022/11/30,2022/11/30,2023/3/24 0:00:00
河套深港科技合作区高端科研项目管理,大湾区生物医药研发创新中心项目,第三阶段,2022/12/1,2023/11/30,2023/11/30,2024/10/23 0:00:00
河套深港科技合作区高端科研项目管理（第二批）,高速率（112Gbs）光传输用VCSEL光芯片关键技术研发及应用项目,第一阶段,2024/1/10,2025/1/9,2025/1/9,
河套深港科技合作区高端科研项目管理（第二批）,高速率（112Gbs）光传输用VCSEL光芯片关键技术研发及应用项目,第二阶段,2025/1/10,2026/1/9,2026/1/9,
河套深港科技合作区高端科研项目管理（第二批）,高速率（112Gbs）光传输用VCSEL光芯片关键技术研发及应用项目,第三阶段,2026/1/10,2027/1/9,2027/1/9,
河套深港科技合作区高端科研项目管理,深圳国际工业与应用数学中心国际化基础研究与应用研究机构建设项目,第一阶段,2024/1/24,2025/1/23,2025/1/23,
河套深港科技合作区高端科研项目管理,深圳国际工业与应用数学中心国际化基础研究与应用研究机构建设项目,第二阶段,2025/1/24,2026/1/23,2026/1/23,
河套深港科技合作区高端科研项目管理,深圳国际工业与应用数学中心国际化基础研究与应用研究机构建设项目,第三阶段,2026/1/24,2027/1/23,2027/1/23,
河套深港科技合作区高端科研项目管理,深圳国际工业与应用数学中心国际化基础研究与应用研究机构建设项目,第四阶段,2027/1/24,2028/1/23,2028/1/23,
河套深港科技合作区高端科研项目管理,深圳国际工业与应用数学中心国际化基础研究与应用研究机构建设项目,第五阶段,2028/1/24,2029/1/23,2029/1/23,
河套深港科技合作区高端科研项目管理,前沿科学与技术转化医学中心项目,第一阶段,2023/9/11,2024/9/10,2024/9/10,2024/11/26 0:00:00
河套深港科技合作区高端科研项目管理,前沿科学与技术转化医学中心项目,第二阶段,2024/9/11,2025/9/10,2025/9/10,
河套深港科技合作区高端科研项目管理,前沿科学与技术转化医学中心项目,第三阶段,2025/9/11,2026/9/10,2026/9/10,
河套深港科技合作区高端科研项目管理,前沿科学与技术转化医学中心项目,第四阶段,2026/9/11,2027/9/10,2027/9/10,
河套深港科技合作区高端科研项目管理,香港应科院国际化基础研究与应用研究机构建设项目,第一阶段,2023/7/1,2024/6/30,2024/6/30,2024/8/15 0:00:00
河套深港科技合作区高端科研项目管理,香港应科院国际化基础研究与应用研究机构建设项目,第二阶段,2024/7/1,2025/6/30,2025/6/30,
河套深港科技合作区高端科研项目管理,香港应科院国际化基础研究与应用研究机构建设项目,第三阶段,2025/7/1,2026/6/30,2026/6/30,
河套深港科技合作区高端科研项目管理,基于机器学习的智能网联汽车感知、定位仿真、协同决策核心算法及计算平台研究项目,第一阶段,2021/9/1,2022/8/31,2022/8/31,2022/10/13 0:00:00
河套深港科技合作区高端科研项目管理,基于机器学习的智能网联汽车感知、定位仿真、协同决策核心算法及计算平台研究项目,第二阶段,2022/9/1,2023/8/31,2023/8/31,2023/11/9 0:00:00
河套深港科技合作区高端科研项目管理,基于机器学习的智能网联汽车感知、定位仿真、协同决策核心算法及计算平台研究项目,第三阶段,2023/9/1,2024/8/31,2024/8/31,2024/11/21 0:00:00
河套深港科技合作区高端科研项目管理,面向行业赋能的计算机视觉关键技术研究项目,第一阶段,2021/6/25,2022/6/24,2022/6/24,2022/8/4 0:00:00
河套深港科技合作区高端科研项目管理,面向行业赋能的计算机视觉关键技术研究项目,第二阶段,2022/6/25,2023/6/24,2023/6/24,2023/8/15 0:00:00
河套深港科技合作区高端科研项目管理,面向行业赋能的计算机视觉关键技术研究项目,第三阶段,2023/6/25,2024/6/24,2024/6/24,2024/10/14 0:00:00
河套深港科技合作区高端科研项目管理,低功耗、高速、高可靠性VCSEL光芯片机理研究项目,第一阶段,2020/12/9,2021/12/8,2021/12/8,2021/12/7 0:00:00
河套深港科技合作区高端科研项目管理,低功耗、高速、高可靠性VCSEL光芯片机理研究项目,第二阶段,2021/12/9,2022/12/8,2022/12/8,2022/12/7 0:00:00
河套深港科技合作区高端科研项目管理,低功耗、高速、高可靠性VCSEL光芯片机理研究项目,第三阶段,2022/12/9,2023/12/8,2023/12/8,2024/3/27 0:00:00
河套深港科技合作区高端科研项目管理,三相位法百万级像素飞行时间成像机理研究项目,第一阶段,2020/12/3,2021/12/2,2021/12/2,2022/1/6 0:00:00
河套深港科技合作区高端科研项目管理,三相位法百万级像素飞行时间成像机理研究项目,第二阶段,2021/12/3,2022/12/2,2022/12/2,2022/12/21 0:00:00
河套深港科技合作区高端科研项目管理,三相位法百万级像素飞行时间成像机理研究项目,第三阶段,2022/12/3,2023/12/2,2023/12/2,2024/1/22 0:00:00
河套深港科技合作区高端科研项目管理,基于人工智能的病原诊断与防治合作项目,第一阶段,2021/4/1,2022/3/31,2022/3/31,2022/8/10 0:00:00
河套深港科技合作区高端科研项目管理,基于人工智能的病原诊断与防治合作项目,第二阶段,2022/4/1,2023/3/31,2023/3/31,
河套深港科技合作区高端科研项目管理,基于人工智能的病原诊断与防治合作项目,第三阶段,2023/4/1,2024/3/31,2024/3/31,
河套深港科技合作区高端科研项目管理,深港智慧医疗机器人开放创新平台项目,第一阶段,2020/11/10,2021/11/9,2021/11/9,2021/11/23 0:00:00
河套深港科技合作区高端科研项目管理,深港智慧医疗机器人开放创新平台项目,第二阶段,2021/11/10,2022/11/9,2022/11/9,2023/6/12 0:00:00
河套深港科技合作区高端科研项目管理,深港智慧医疗机器人开放创新平台项目,第三阶段,2022/11/10,2023/11/9,2023/11/9,2024/6/12 0:00:00
河套深港科技合作区高端科研项目管理,先进航空材料预应力工程与纳米技术研发合作项目,第一阶段,2020/10/16,2021/10/15,2021/10/15,2021/11/22 0:00:00
河套深港科技合作区高端科研项目管理,先进航空材料预应力工程与纳米技术研发合作项目,第二阶段,2021/10/16,2022/10/15,2022/10/15,2022/12/16 0:00:00
河套深港科技合作区高端科研项目管理,先进航空材料预应力工程与纳米技术研发合作项目,第三阶段,2022/10/16,2023/10/15,2023/10/15,2024/10/9 0:00:00
河套深港科技合作区高端科研项目管理,高时空解析度电子显微镜关键部分研究合作项目,第一阶段,2020/10/16,2021/10/15,2021/10/15,2021/11/22 0:00:00
河套深港科技合作区高端科研项目管理,高时空解析度电子显微镜关键部分研究合作项目,第二阶段,2021/10/16,2022/10/15,2022/10/15,2022/11/11 0:00:00
河套深港科技合作区高端科研项目管理,高时空解析度电子显微镜关键部分研究合作项目,第三阶段,2022/10/16,2023/10/15,2023/10/15,2024/9/26 0:00:00
河套深港科技合作区高端科研项目管理（第二批）,新一代TCAD工具平台,第一阶段,2024/3/1,2025/2/28,2025/2/28,
河套深港科技合作区高端科研项目管理（第二批）,新一代TCAD工具平台,第二阶段,2025/3/1,2026/2/28,2026/2/28,
河套深港科技合作区高端科研项目管理（第二批）,新一代TCAD工具平台,第三阶段,2026/3/1,2027/2/28,2027/2/28,
河套深港科技合作区高端科研项目管理（第二批）,14nm技术节点良率综合优化系统,第一阶段,2024/4/1,2025/3/31,2025/3/31,
河套深港科技合作区高端科研项目管理（第二批）,14nm技术节点良率综合优化系统,第二阶段,2025/4/1,2026/3/31,2026/3/31,
河套深港科技合作区高端科研项目管理（第二批）,14nm技术节点良率综合优化系统,第三阶段,2026/4/1,2027/3/31,2027/3/31,
